Model,Support,Variantes,,
Galaxy Tab S4,Yes,"SM-T835N, SM-T837, SM-T830, SM-T835, SM-T837A, SM-T837P, SM-T837V, SM-T837R4, SM-T837T, SM-T835C",,
W2019,Yes,SM-W2019,,
Galaxy A30,Yes,"SCV43, SCV43-j, SCV43-u",,
Galaxy Note9,Yes,"SM-N960F, SM-N9600, SM-N960N, SM-N960U, SM-N960W, SM-N960U1, SC-01L, SCV40",,
Galaxy S9,Yes,"SM-G9600, SM-G9608, SM-G960U, SM-G960U1, SM-G960W, SM-G960N, SM-G960F, SCV38, SC-02K",,
Galaxy S9,Yes,"SM-G965F, SM-G965N, SM-G9650, SM-G965U, SM-G965U1, SM-G965W, SCV39, SC-03K",,
Galaxy J2 Core,Yes,"SM-J260A, SM-S260DL, SM-J260AZ",,
Galaxy J5 2017,Yes,"SM-J530G, SM-J530GM, SM-J530K, SM-J530L, SM-J530S, SM-J530Y, SM-J530YM, SM-J530F, SM-J530FM",,
Galaxy A7 2017,Yes,SM-A720S,,
Galaxy A8 2018,Yes,"SM-A530F, SM-A530N, SM-A530W",,
Galaxy A8 2018,Yes,SM-A730F,,
Galaxy J3 2017,Yes,"SM-J330L, SM-J330N, SM-J3308, SM-J330F, SM-J330FN, SM-J330G, SM-J3300",,
Galaxy J3 Top,Yes,"SM-J337P, SM-J337V, SM-J337VPP, SM-J337U, SM-J337W, SM-S357BL, SM-S367VL, SM-J337R4, SM-J337R7, SM-J337A",,
Galaxy J4,Yes,"SM-J415GN, SM-J415FN, SM-J415G, SM-J415F",,
Galaxy J7 2017,Yes,"SM-J730K, SM-J730G, SM-J730GM, SM-J730F, SM-J730FM",,
Galaxy J7 Neo,Yes,"SM-J701F, SM-J701M, SM-J701MT",,
Galaxy J7 Pop,Yes,SM-J727S,,
Galaxy J7 Top,Yes,"SM-J737T, SM-J737V, SM-J737VPP, SM-J737R4, SM-J737U, SM-J737T1, SM-S767VL, SM-S757BL, SM-J737A, SM-J737P",,
Galaxy Note FE,Yes,"SM-N935F, SM-N935S",,
Galaxy On7 2018,Yes,"SM-G611F, SM-G611K, SM-G611L, SM-G611S, SM-G611FF, SM-G611M, SM-G611MT",,
Galaxy S8 Active,Yes,"SM-G892U, SM-G892A",,
Galaxy Tab A 8 2017,Yes,"SM-T385K, SM-T385L, SM-T385M, SM-T385S, SM-T380, SM-T385",,
Galaxy Tab A 8 2018,Yes,SM-T387VK,,
Galaxy Tab Active2,Yes,"SM-T395, SM-T395N, SM-T397U, SM-T390",,
Galaxy Tab S3,Yes,"SM-T825C, SM-T825Y, SM-T827, SM-T827V, SM-T827R4, SM-T820, SM-T825N0, SM-T825",,
Galaxy XCover4,Yes,"SM-G390W, SM-G390Y, SM-G390F",,
W2018,Yes,SM-W2018,,
Galaxy Note8,Yes,"SM-N950F, SM-N950N, SM-N950U1, SM-N9500, SM-N9508, SM-N950U, SM-N950W, SC-01K, SCV37",,
Galaxy S8,Yes,"SM-G950F, SM-G950FD, SM-G950N, SM-G9500, SM-G9508, SM-G950U, SM-G950U1, SM-G950W, SC-02J, SCV36",,
Galaxy S8,Yes,"SM-G955F, SM-G955FD, SM-G955N, SM-G9550, SM-G955U, SM-G955U1, SM-G955W, SC-03J",,
Galaxy C8,Yes,"SM-C7108, SM-C710F, SM-C7100",,
Galaxy J2 Core,Yes,SM-J260T1,,
Galaxy J3 Pop,Yes,"SM-J327A, SM-J327R4, SM-J327R6, SM-J327R7, SM-J327U, SM-J327V, SM-J327VPP, SM-J327W",,
Galaxy J7 2016,Yes,"SM-J710MN, SM-J710F, SM-J710FN, SM-J710GN, SM-J710K",,
Galaxy J7 Max,Yes,"SM-G615F, SM-G615FU",,
Galaxy J7 Pop,Yes,"SM-J727U, SM-J727T, SM-J727T1, SM-J727V, SM-J727VPP, SM-S737TL, SM-J727A, SM-J727AZ, SM-J727P, SM-J727R4",,
Galaxy On5 2016,Yes,"SM-G5510, SM-G5520, SM-G5528",,
Galaxy On7 2016,Yes,"SM-G610F, SM-G610K, SM-G610L, SM-G610M, SM-G610S",,
